,review_cleaned_text,sentiment
85,"['headset', 'easy', 'use', 'love']",1
86,"['phone', 'work', 'great']",1
87,"['construction', 'headset', 'poor']",0
88,"['product', 'excellent', 'work', 'verizon', 'boy', 'cheap']",1
89,"['phone', 'load', 'super']",1
90,"['product', 'cost', 'expect', 'work', 'far', 'great', 'ease', 'thing']",0
91,['sturdy'],1
92,"['work', 'great']",1
93,"['ear', 'bud', 'play', 'music', 'ear']",0
94,"['waste', 'money', '...']",0
95,['order'],1
96,"['plan', 'use', 'car', 'forget']",0
97,"['find', 'product', 'waaay', 'big']",0
98,"['find', 'far', '....', 'try', '2', 'bluetooth', 'good', 'quality', 'listener', 'ease', 'use']",1
99,"['disappointed', 'decision']",0
100,"['integrate', 'seamlessly', 'motorola', 'razr', 'phone']",1
101,"['buyer', 'beware', 'flush', 'money', 'right', 'toilet']",0
102,"['definitely', 'bargain']",1
103,"['price', 'good', 'free', 'shipping', 'good', 'purchase']",1
104,"['receive', 'supposedly', 'new', 'motorola', '375', 'apparently', 'match', 'phone', 'charger']",0
105,"['pros:-good', 'camera', 'nice', 'picture', 'cool', 'style', 'like', 'black', 'white']",1
106,"['huge', 'design', 'flaw', 'use', 'correctly', 'think', 'case']",0
107,"['love', '350', 'headset', '..', 'jabra350', 'bluetooth', 'headset', 'great', 'reception', 'good', 'ear', 'piece', 'comfortable', 'fit']",1
108,"['camera', 'rate', 'impressive', '1.3', 'megapixel', 'render', 'image', 'fall', 'expectation', 'relatively', 'high', 'resolution']",0
109,"['purcashe', 'car', 'charger', 'work']",0
110,"['sound', 'quality', 'end', 'excellent', 'use', 'headset', 'wife', 'ask', 'wife', 'use', 'headset', '2']",1
111,"['phone', 'slim', 'light', 'display', 'beautiful']",1
112,"['little', 'geeky', 'think', 's', 'sex', 'toast', 'rock', 'ooze', 'sex', 'right', 'battery', 'embed', 'sleek', 'stylish', 'leather', 'case']",1
113,"['great', 'product', 'fast', 'shipping']",1
114,"['absolutely', 'great']",1
115,"['keyboard', 'nice', 'compromise', 'qwerty', 'basic', 'cell', 'phone', 'number', 'keypad']",1
116,"['phone', 'end', 'completely', 'unhappy']",0
117,"['comfortable', 'ear']",1
118,['winner'],1
119,"['setup', 'simple']",1
120,"['try', 'different', 'earpiece', 'cell', 'phone', 'jabra', 'find', 'fit', 'ear', 'comfortably']",1
121,"['strong', 'signal']",0
122,"['iam', 'pleased', 'purchase']",1
123,"['bad', 'quality']",0
124,['job'],1
125,"['great', 'audio']",1
126,"['basically', 'service', 'bad']",0
127,"['work', 'cell', 'phone', 'plug', 'set', 'charger']",0
128,"['bluetooth', 'week', 'like']",1
129,"['bt', 'headset', 'disapoinment']",0
130,"['small', 'realize', 'getting', 'use']",1
131,"['accompanied', 'software', 'brilliant']",1
132,"['headset', 'work', 'great', 'package', 'nicely', 'avoid', 'damage']",1
133,"['definitly', 'recommend']",1
134,"['buyer', '--', 'careful']",0
135,"['majority', 'logitech', 'earbud', 'headset', 'fail']",0
136,"['good', 'stuff', 'price']",1
137,"['headset', 'work', 'peachy', 'keen']",1
138,"['house', 'getting', 'drop', 'coverage', 'upstairs', 'coverage', 'basement']",0
139,"['voice', 'recognition', 'tremendous']",1
140,['waste'],0
141,"['different', '2', 'minute', 'experience', '5', 'drop', 'area', '5', 'bar']",0
142,"['happy', 'item']",0
143,['disappointed'],0
144,"['phone', 'forever', 'charge', 'like', '2', '5', 'hour', 'literally']",0
145,"['phone', 'reccomendation', 'relative', 'glad']",1
146,"['waste', 'time']",0
147,"['reception', 'poor']",0
148,"['item', 'state', 'include', 'description', 'include']",0
149,"['3', 'month', 'screen', 'black', 'sudden']",0
150,['hope'],0
151,"['audio', 'quality', 'poor', 'poor']",0
152,"['absolutely', 'problem', 'headset', 'link', '8530', 'blackberry', 'curve']",1
153,"['know', 'sound', 'funny', 'like', 'sketchy', 'technology', 'work', 'work', 'great']",1
154,"['buy', '5', 'wire', 'headphone', 'sound']",0
155,"['phone', 'fast', 'send', 'kind', 'message', 'web', 'browsing', 'significantly', 'fast', 'previous', 'phone', 'use']",1
156,"['nice', 'quality', 'build', 'unlike', 'cheap', 's']",1
157,"['item', 'fantastic', 'work', 'perfectly']",1
158,"['love', 'color']",1
159,"['w810i', 'superb']",1
160,"['whine', 'internet', 'use', 'thing', 'like']",0
161,"['great', 'charger']",1
162,"['essentially', 'communication', 'tool', 'communicate']",0
163,"['work', 'like', 'charm', 'work', 'phone']",1
164,"['maintain', 'monkey', 'headphone', 'obviously', 'share', 'dna', 'copy', 'design', 'human']",0
165,"['great', 'value']",1
166,"['work', '..', 'bougth', 'l7c', 'work']",0
167,"['look', 'sharp', 'screen', 'nice', 'clear', 'great', 'graphic']",1
168,['long'],0
169,"['thing', 'hate', 'mode', 'set', 'button']",0
170,"['excellent', 'service']",1
171,"['thank', 'waste', 'money']",0
172,"['be?the', 'audio', 'quality', 'poor']",0
173,"['igo', 'charger', 'tip', 'great']",1
174,"['file', 'browser', 'offer', 'option', 'need', 'handsfree', 'great']",1
175,"['superb', 'phone', 'great', 'network']",1
176,"['connect', 'wife', 'bluetooth,(motorola', 'hs850', 'phone', 'work', 'like', 'charm', 'phone', 'pocket', 'case']",1
177,"['late', 'os', 'v1.15', 'g', 'like', 'slow', 'crawl', 'lock']",0
178,"['recognize', 'phone', 'storage', 'device']",0
179,"['like', 'loud', 'buzzing', 'override', 'conversation', 'phone']",0
180,"['buy', 'product']",0
181,"['bluetoooth', 'headset', 'time', 'comfortable', 'way', 'fit', 'ear']",0
182,"['sound', 'quality', 'good', 'functionality', 'awesome']",1
183,"['phone', 'thorn', 'abhor']",0
184,"['recently', 'problem', 'stay', 'connected', '10', 'minute', 'disconnect']",0
185,['incredible'],1
186,"['design', 'flaw']",0
187,"['great', 'phone']",1
188,"['waste', '13', 'buck']",0
189,"['check', 'voice', 'mail', 'night', 'keypad', 'backlight', 'turn', 'second', 'message', 'lose']",0
190,"['replacement', 'die', 'week']",0
191,"['ring', 'tone', '..', 'overall', 'good', 'phone', 'buy', '..']",1
192,"['lately', 'extremely', 'nice', 'helpful', 'phone']",1
193,"['problem', 'wit', 'hit', 'dropping', 'signal']",0
194,['impressed'],0
195,"['light', 'weight', 'hardly', 'notice']",1
196,"['love', 'thin']",1
197,"['bad', 'choice']",0
198,"['pleather', 'case', 'fit']",0
199,"['useless', 'phone', 'simply', 'deaf']",0
200,"['color', 'pretty', 'think', 'graphic', 'incredibly', 'sharp']",1
201,"['think', 'good', 'investment']",1
202,"['strange', 'tick', 'noise', 'end']",0
203,"['good', 'electronic', 'available', 'fm', 'transmitters']",1
204,"['battery', 'hour']",0
205,"['great', 'headset', 'impressed', 'h500']",1
206,"['1.2', 'mega', 'pixel', 'camera', 'phone', 'reasonably', 'good7']",1
207,"['nearly', '2', 'year', 'work', 'great']",1
208,"['good', 'transmit', 'audio']",1
209,['send'],0
210,"['bother', 'contact', 'company', 'dollar', 'product', 'learn', 'lesson', 'buy', 'form', 'online']",0
211,"['hate', 'earbug', 'avoid', 'phone', 'mean']",0
212,"['great', 'price']",1
213,"['range', 'decent', 'able', 'roam', 'house', 'phone', 'living', 'room', 'reception', 'sound', 'quality', 'issue']",1
214,"['fast', 'service']",1
215,"['highly', 'recommend']",1
216,['recommend'],1
217,"['like', 'button', 'feel', 'like', 'crack', 'use']",0
218,"['bad', 'phone']",0
219,"['infatuate', 'phone']",1
220,"['freezes', 'frequently4']",0
221,"['kind', 'embarrassing', 'use', 'look', 'embarrassing', 'child', 'like', 'company']",0
222,"['simple', 'lightweight', 'great', 'fit']",1
223,"['expect', 'consumer', 'experience', 'motorola']",0
224,"['horrible', 'tick', 'sound', 'background', 'experience']",0
225,"['certainly', 'comfortable', 'functionality', 'decent']",1
226,"['usually', 'like', 'headband', 'lightweight', 'mess', 'hair']",1
227,"['bit', 'disappointed']",0
228,"['phone', 'year', 'tell', 'great']",0
229,"['order', 'sony', 'ericsson', 'w810i', 'think', 'work', 's', 'use']",0
230,"['battery', 'completely', 'useless']",0
231,"['big', 'waste', 'time']",0
232,['waste'],0
233,"['great', 'sound', 'service']",1
234,"['pleased', 'product', 'far']",1
235,"['favorite', 'purchase']",1
236,"['bluetooth', 'market']",1
237,"['authentic', 'leather', 'nice', 'shine', 'comfort', '.i', 'recommend', 'case']",1
238,"['excited', 'headset', 'think', 'cute']",1
239,['mistake'],0
240,"['big', 'disappointment', 'calendar', 'sync']",0
241,"['phone', 'unusable', 'new']",0
242,"['bad', 'customer', 'service']",0
243,"['additional', 'ear', 'gel', 'provide', 'instruction', 'whatsoever']",0
244,"['defeat', 'purpose', 'bluetooth', 'headset']",0
245,"['worth', 'penny']",1
246,"['excellent', 'wallet', 'type', 'phone', 'case']",1
247,"['nice', 'headphone', 'price', 'work', 'great']",1
248,"['internet', 'excrutiatingly', 'slow']",0
249,"['comfortable', 'wear', 'probably', 'important', 'aspect', 'use', 'case']",1
250,"['fit', 'like', 'glove', 'strong', 'secure', 'durable']",1
251,"['o', 'gosh', 'good', 'phone']",1
252,"['attractive', 'appear', 'good', 'quality']",1
253,"['love', 'feature', 'form', 'factor']",1
254,"['product', 'strong', 'rubber', 'petroleum', 'smell', 'unbearable', 'cause', 'return']",0
255,"['poor', 'quality', 'service']",0
256,"['cable', 'look', 'thin', 'flimsy', 'scary']",0
257,"['great', 'earpiece']",1
258,"['excellent', 'hand', 'free', 'tool']",1
259,"['great', 'use', 'home', 'stereo']",1
260,"['good', 'product', 'incredible', 'value']",1
261,"['month', 'work', 'flawlessly', 'far']",1
262,"['work', 'great']",1
263,"['absolutel', 'junk']",0
264,['work'],0
265,"['battery', 'life', 'real', 'good']",1
266,"['return', '8', 'hour', 'later']",0
267,"['great', 'item']",1
268,"['waste', 'money']",0
269,"['love', 'headset']",1
270,"['drain', 'player', 'potentially', 'fry']",0
271,"['work', 'perfectly']",1
272,['unreliable'],0
273,"['5', 'star', 'sound', 'quality']",1
274,['avoid'],0
275,"['reversible', 'plug', 'work', 'great']",1
276,"['waste', 'little', 'money', 'earpiece']",0
277,"['good', 'phone']",1
278,"['good', 'rotate', 'feature', 'helpful']",1
279,"['comfort', 'family']",1
280,"['good', 'product', 'good', 'seller']",1
281,"['love', 'bluetooth']",1
282,['wear'],0
283,"['impressed', 'headset', 'plantronics']",1
284,"['small', 'adorable']",1
285,"['recommend', 'buy', 'product']",0
286,"['piece', 'junk']",0
287,"['poorly', 'contstruct', 'hinge']",0
288,"['item', 'great', 'instal', 'let', 'charge', 'overnite', 'work', 'good', 'problem']",1
289,"['great', 'phone']",1
290,['buy'],0
291,"['excellent', 'phone']",1
292,"['purchase', 'phone']",0
293,"['voice', 'recognition', 'handset', 'excellent']",1
294,"['hand', 'good', 'phone']",1
295,"['work', 'great', 'cat', 'attack', 'phone', 'scratch', 'protective', 'strip', 'instead', 'destroy', 'screen']",1
296,"['work', 'price', 'right']",1
297,"['customer', 'service', 'terrible']",0
298,"['battery', 'life', 'long', 'motorola', 'razor', 'v3i']",0
299,['send'],0
300,"['know', 'wise', 'decision']",1
301,"['ve', 'invent', 'soon']",1
302,"['good', 'price']",1
303,"['work', 'try', 'device', 'certainly', 'engineer', 'clever', 'way', 'construction', 'feel', 'good']",1
304,"['receive', 'quickly', 'work', 'great']",1
305,"['work', 'great']",1
306,"['people', 'complain', 'find', 'headset', 'microphone', 'weak']",0
307,"['5', 'year', 'old', 'nokia', '2160', 'tracfone', 'hold', 'charge', 'lot']",0
308,"['care', 'consumer', 'bit']",0
309,"['good', 'battery', 'fast']",1
310,"['instruction', 'manual', 'lack']",0
311,"['slim', 'fit', 'alarm', 'clock', 'docking', 'station', 'remove', 'case']",1
312,"['phone', 'hold', 'charge', 'like', 'new']",1
313,"['battery', 'unreliable', 'service', 'use', 'antena']",0
314,"['uncomfortable', 'sound', 'quality', 'poor', 'compare', 'phone', 'razr', 'previous', 'wire', 'headset', 'plug', 'lg']",0
315,"['lot', 'compliment']",1
316,"['definitely', 'state', 'allow', 'cell', 'phone', 'usage', 'drive']",1
317,"['want', 'money']",0
318,"['love', 'device']",1
319,"['happy', 'price']",1
320,"['order', 'product', 'unhappy', 'immediately']",0
321,"['ngage', 'lack', 'earbud']",0
322,"['able', 'voice', 'dialing', 'car', 'problem']",1
323,"['2', '3', 'bar', 'cell', 'phone', 'home', 'hear']",0
324,"['good', 'item', 'low', 'price']",1
325,"['riingtone', 'good', 'game']",0
326,"['plug', 'work']",0
327,"['amazon', 'sucks']",0
328,"['rip', 'off----', 'charge', 'shipping']",0
329,['comfortable'],1
330,"['battery', 'work', 'replacement', 'original', 'come', 'phone', '2', 'year', 'ago']",1
331,"['reception', 'excellent']",1
332,"['fit', 'comfortably', 'ear', 'sound', 'clear', 'loud', 'charge', 'couple', 'day']",1
333,"['clear', 'quality', 'sound', 'mess', 'sound', 'ipod', 'sound', 'button', 'headset']",1
334,"['1', 'long', 'battery', 'recharge', 'frequentyly', 'flip', 'phones)2']",0
335,"['obviously', 'problem', 'adhesive']",0
336,['disappointing'],0
337,"['inexpensive', 'piece', 'expect', 'quality']",0
338,"['practically', 'useless', 'add', 'kind', 'boost', 'reception', 'buy']",0
339,"['excellent', 'sound', 'quality']",1
340,['happy'],0
341,"['piece', 'junk', 'break', 'phone', '2', 'day']",0
342,"['new', 'battery', 'work', 'great', 'phone']",1
343,"['bad', 'customer', 'service']",0
344,"['drop', 'phone', 'time', 'concrete', 'phone', 'great', 'knock', 'wood']",1
345,"['reception', 'terrible', 'static']",0
346,"['good', 'audio', 'quality']",1
347,"['little', 'device', 'transform', 'organizational', 'capability', 'life', 'lot', 'easy']",1
348,"['sit', 'vehicle', 'cradle', 'belt', 'headset', 'lose', 'signal']",0
349,"['jerks', 'phone']",0
350,"['work', 'like', 'charm', '..', 'work', 'advertise']",1
351,"['comfortable', 'nice', 'range', 'good', 'battery', 'life']",1
352,"['network', 'coverage', 'los', 'angeles', 'horrible']",0
353,"['excellent', 'starter', 'wireless', 'headset']",0
354,"['loudspeaker', 'option', 'great', 'bumper', 'light', '...', 'appeal']",0
355,"['thing', 'think', 'improve', 'sound', 'leak', 'headset']",0
356,"['reception', 'suck', '2', 'bar']",0
357,"['phone', 'extremely', 'hot']",0
358,"['microphone', 'work', 'accord', 'people', 'applifie']",1
359,"['nice', 'design', 'quality']",1
360,"['phone', 'drop', 'case', 'save', 'specially', 'drop', 'face']",0
361,"['light', 'easy', 'use', 'clear', 'reception', 'transmission']",1
362,"['bad', 'fit', 'way', 'big']",0
363,"['definitely', 'good', 's11']",1
364,"['awesome', 'device']",1
365,"['waste', 'money']",0
366,"['order', 'motorola', 'data', 'cable', 'finished', 'work', 'product']",1
367,"['love', 'phone']",1
368,"['look', 'headset', 'long', 'time', 'happy']",1
369,"['drivng', 'headset', 'start', 'ring', 'reason']",0
370,"['display', 'excellent', 'camera', 'good', 'year']",1
371,"['battery', 'life', 'great']",1
372,"['bad', 'phone', '....', 'month']",0
373,"['good', 'item', '..', 'work', 'start', 'problem', 'auto', 'reverse', 'tape', 'player']",0
374,"['embarasse', 'ear', 'hurt', 'try', 'push', 'ear', 'plug', 'ear']",0
375,"['protect', 'phone']",1
376,"['average', 'phone', 'bad', 'battery', 'life', 'operate', 'weak', 'network']",0
377,"['clear', 'skype', 'long', 'battery', 'life', 'long', 'range']",1
378,"['soyo', 'technology', 'suck']",0
379,"['great', 'hands', 'free', 'device']",1
380,"['self', 'portrait', 'outside', 'exterior', 'display', 'cool']",1
381,"['problem', 'mention']",0
382,"['try', 'handsfree', 'gadget', 'finally', 'work']",1
383,"['magical', 'help']",1
384,"['bad', 'piece', 'crap', 'verizon', 'customer', 'service']",0
385,"['poor', 'sound', 'quality']",0
386,"['good', 'phone', 'market', ':)']",1
387,['work'],1
388,"['company', 'ship', 'product', 'promptly', 'work']",1
389,"['exactly', 'want']",1
390,"['picture', 'resolution', 'far', 'comparably', 'price', 'phone', 'offer', 'today']",0
391,"['great', 'deal']",1
392,"['excellent', 'product', 'satisfied', 'purchase']",1
393,"['highly', 'recommend', 'encourage', 'people', 'try']",1
394,['expect'],1
395,"['use', 'earpiece', 'leave', 'right', 'thing', 'stay', 'ear']",0
396,"['great', 'product', 'price']",1
397,"['sound', 'good', 'reasonably', 'price', 'effective', 'simple']",1
398,"['wait', '......', 'sure', 'item', 'work', '..', 'recieve']",0
399,['disappointment'],0
400,"['prompt', 'service']",1
401,"['excellent', 'product', 'price']",1
402,"['pleased', 'headset']",1
403,"['waste', 'money', 'time']",0
404,"['especially', 'love', 'long', 'battery', 'life']",1
405,"['stupid', 'buy', 'new', 'charger', 'car', 'charger', 'cradle', 'headphone', 'car', 'kit', 'time', 'new', 'phone', 'come']",0
406,"['plantronics', 'bluetooth', 'excelent', 'buy']",1
407,"['come', 'verizon', 'cingulair', 'nice', 'cell', 'phone', '....', 'thing', 'notice', 'bad', 'service']",0
408,"['look', 'new', 'earpiece']",0
409,"['highly', 'recommend', 'device']",1
410,"['jawbone', 'era', 'awesome']",1
411,"['receive', 'white', 'colored', 'battery', 'dead', 'couple', 'hoursthe', 'original', 'use', 'week', 'long', 'thereplacement']",0
412,"['year', 'battery', 'completely', 'dead', 'headset']",0
413,"['use', 'phone', 'year', 'good']",1
414,"['awesome', 'new', 'look', 'fall', '2000']",1
415,"['phone', 'cheaply']",0
416,"['att', 'clear', 'sound', 'distorted', 'yell', 'talk']",0
417,"['plastic', 'break', 'easy', 'clip']",0
418,"['price', 'good']",1
419,['mistake'],0
420,"['oh', 'forget', 'mention', 'weird', 'color', 'effect', 'phone']",0
421,"['use', 'iriver', 'spinn', 'case', 'fit', 'fine']",1
422,"['area', 'unit', 'broke).-', 'fond', 'magnetic', 'strap']",0
423,"['overall', 'psyche', 'phone', 'appointment', 'contact', 'great', 'reception']",1
424,"['thing', 'phone', 'work', 'perfectly', 'like']",1
425,"['note', 'phone', 'appearance', 'look', 'bland', 'especially', 'black', 'model']",0
426,['easy'],1
427,"['sanyo', 'survive', 'dozen', 'drop', 'blacktop', 'ill', 'effect']",1
428,"['fantastic', 'earphone']",1
429,"['find', 'cell', 'phone', 'right', 'away', 'enter', 'car']",1
430,"['low', 'quality']",0
431,"['highly', 'recommend', 'modest', 'price', 'cellular', 'phone']",1
432,"['reception', 'clarity', 'phone']",1
433,"['warning', 'stay', 'away']",0
434,"['wish', 'return', 'unit', 'money']",0
435,"['awsome', 'device', 'work', 'great']",1
436,"['use', 'talk', '1', '1', '1/2', 'hour', 'battery', 'literally', 'drain', 'die']",0
437,"['find', 'bad', 'unit', 'come', 'earpad', 'recommend']",0
438,['displeased'],0
439,"['defect', 'risk', 'buy', 'build', 'quality']",0
440,"['case', 'small', 'difficult', 'install']",0
441,"['restore', 'phone', 'like', 'new', 'performance']",1
442,"['recommend', 'purchase', 'jabra', 'jx-10', 'series', '2', 'work', 'flawlessly', 'moto', 'q', 'figure']",1
443,"['search', 'internet', 'find', 'good', 'value']",1
444,['fit'],0
445,"['happy', 'product']",1
446,"['screen', 'size', 'big', 'key', 'pad', 'light', 'camera', 'quality', 'excellent', 'camera', 'phone']",1
447,"['bad', 'headset']",0
448,"['glad', 'find', 'product', 'amazon', 'hard', 'find', 'high', 'price']",1
449,"['portable', 'work']",1
450,"['colleague', 'great', 'reception', 'little', 'expensive', 'performance', 'great']",1
451,"['fully', 'charge', 'bed', 'turn', 'blue', 'tooth', 'wi', 'fi', 'notice', '20', 'leave', 'morning']",0
452,"['problem', 'phone', 'read', 'memory', 'card', 'turn']",0
453,"['good', 'wear', 'hat', 'sunglass']",0
454,"['timely', 'shipment', 'quality', 'product']",1
455,"['nice', 'solid', 'keyboard']",1
456,"['fit', 'surefire', 'gx2', 'perfectly']",1
457,"['horrible', 'phone']",0
458,"['bt50', 'battery', 'junk']",0
459,['recommend'],1
460,"['software', 'work', 'computer']",0
461,['disappointed'],0
462,"['poor', 'voice', 'clarity']",0
463,"['battery', 'work', 'great']",1
464,"['buyer', 'remorse']",0
465,"['disappointed', 'accessoryone']",0
466,"['find', 'inexcusable', 'probably', 'return', 'phone', 'change', 'carrier']",0
467,"['look', 'great', 'strong']",1
468,"['tmobile', 'service', '2', '3', 'year', 'pretty', 'happy']",1
469,"['update', 'procedure', 'difficult', 'cumbersome']",0
470,"['disappointment', '..', 'hate', 'ear']",0
471,"['great', 'software', 'motorolas']",1
472,"['delivery', 'time']",1
473,"['easy', 'use']",1
474,"['uncomfortable', 'ear', 'use', 'lg', 'vx9900', 'env']",0
475,"['volume', 'switch', 'rocket', 'unit', 'destination', 'unknown']",0
476,"['hold', 'charge', 'long', 'time', 'reasonably', 'comfortable', 'long', 'wear', 'condition', 'quality', 'sound', 'tremendous']",1
477,"['like', 'return']",0
478,"['keyboard', 'worthwhile', 'usefulness', 'sturdy', 'expect', 'problem']",1
479,"['verizon', 'bill', 'difficult', 'understand', 'pricing', 'plan', 'simple']",0
480,"['charge', 'overnight', 'battery', 'work', 'great']",1
481,['regret'],1
482,"['love', 'phone']",1
483,['disappointment'],0
484,"['user', 'friendly']",0
485,"['unfortunately', 'ability', 'actually', 'know', 'receive', 'important', 'feature', 'phone', 'pitiful', 'respect']",0
486,"['exchange', 'phone', 'problem']",0
487,"['result', 'phone', 'stick', 'max', 'volume', 'mute']",0
488,"['pda', 'rock']",1
489,"['super', 'charge', 'use', 'small', 'hybrid', 'palmtop', 'camera', 'cellphone', 'excel', 'role']",1
490,"['definitely', 'recommend', 'jabra', 'bt250v', 'look', 'comfort', 'clarity', 'great', 'price']",1
491,"['verizon', '2', 'year', 'ago', 'like', 'service']",1
492,"['pretty', 'piece', 'junk']",0
493,"['plug', 'wrong', 'size']",0
494,"['work', 'describe']",1
495,"['save', 'money', '....', 'item', '11', 'month']",0
496,"['bad', 'purchase']",0
497,"['im', 'satisfied']",1
498,"['bose', 'noise', 'cancelling', 'amazing', 'important', 'nyc', 'commuter']",1
499,"['battery', 'excellent', 'bargain']",1
500,"['defective', 'crap']",0
501,"['star', 'able']",0
502,"['wear', 'glass', 'fit', 'fine']",1
503,"['sound', 'quality', 'device', 'unacceptable', 'quiet', 'area', 'hear']",0
504,"['recommend', 'item']",0
505,"['holster', 'arrive', 'match', 'photo', 'ad']",0
506,"['great', '...', 'problem']",1
507,"['early', 'review', 'note', 'plug', 'charger', 'happen']",0
508,"['frog', 'phone', 'charm', 'adorable', 'eye', 'catch']",1
509,"['know', 'push', 'hard', 'right', 'number', 'time', 'function', 'want']",0
510,"['sound', 'clear', 'people', 'talk', 'amazed', 'quality']",1
511,"['aluminum', 'case', 'new', 'palm', 'vx', 'work', '--', 'protect', 'handheld', 'perfectly', 'far']",1
512,"['good', 'product']",1
513,"['mobile', 'phone', 'tools']",1
514,"['impressed', 'job', 'motorola', 'sturdiness', 'phone']",1
515,"['receive', 'order', 'shipping', 'timeframe', 'good', 'working', 'order', 'overall', 'excited', 'source']",1
516,"['phone', 'sturdy', 'waterproof']",1
517,"['impressed', 'recommend', 'item']",0
518,"['complaint', 'standard', 'sound', 'volume', 'little', 'low', 'turn', '5(of', '5']",0
519,"['thank', 'amazon', 'thing', 'need', 'good', 'price']",1
