,Customer_id,Phone,OnlineSecurity,OnlineBackup,TechSupport,DeviceProtection,StreamingTV,StreamingMovies,PaperlessBilling,DSL,Fiber Optic
120,Q765651,1,0,1,0,0,0,0,1,1,0
121,W400552,1,0,1,0,1,1,1,1,0,0
122,S979985,1,0,1,1,0,0,0,1,0,0
123,E351590,1,0,0,0,1,1,1,1,0,0
124,J227824,1,0,0,0,1,1,0,0,0,0
125,S136858,1,0,0,0,0,0,0,0,1,0
126,N883325,1,0,0,0,1,1,1,1,0,0
127,U700981,0,0,1,1,1,0,0,0,1,0
128,X267853,1,1,0,1,1,0,0,0,1,0
129,S985225,1,0,0,0,1,1,1,1,0,0
130,X645702,1,0,0,0,1,0,1,1,1,0
131,I703479,1,0,0,1,0,0,1,1,0,1
132,S370452,1,0,1,1,0,1,0,0,1,0
133,D333249,1,0,0,0,1,1,1,1,0,1
134,O698848,1,0,0,0,0,0,0,1,0,1
135,M248356,1,0,1,0,1,0,0,1,0,1
136,E759213,1,0,1,0,0,0,1,1,0,1
137,G106476,1,0,1,1,1,1,0,1,1,0
138,D873414,0,1,0,0,1,1,1,1,0,1
139,X906302,1,0,0,1,1,1,0,0,1,0
140,Z245249,1,0,0,1,1,0,0,1,0,1
141,T30358,1,0,1,0,0,1,0,1,0,1
142,K974027,1,0,1,0,1,0,1,0,0,1
143,R464272,1,0,0,0,1,0,1,0,1,0
144,Q541158,1,0,1,0,0,0,1,1,0,0
145,O707075,1,0,1,1,1,1,0,0,0,1
146,L229402,1,0,1,1,0,1,1,1,0,0
147,Y259927,0,0,0,1,0,0,0,1,1,0
148,G820541,1,0,1,0,0,1,1,0,0,1
149,F672614,1,1,1,1,0,0,1,0,0,0
150,L686627,1,1,0,1,0,0,1,0,1,0
151,T660448,1,0,0,1,0,1,1,1,0,1
152,G864898,1,1,1,0,0,1,0,0,0,1
153,V847401,1,1,1,0,0,0,1,1,1,0
154,X852253,1,1,1,0,1,0,1,1,0,1
155,M482085,1,0,0,1,0,1,1,0,0,1
156,L535753,1,0,0,1,0,1,1,1,0,0
157,K265986,1,1,1,1,0,1,0,1,0,1
158,C695447,1,0,0,0,1,1,1,1,0,1
159,T484755,1,1,1,1,1,0,0,0,0,0
160,X999392,1,1,0,0,1,0,1,0,0,1
161,N995093,1,0,0,0,1,1,0,1,0,1
162,D478815,1,0,1,0,0,1,0,1,1,0
163,I338069,1,0,0,1,1,1,1,0,0,0
164,T278739,1,1,0,1,1,1,1,0,0,0
165,R857699,1,0,0,1,0,0,1,0,0,1
166,Q386914,1,0,0,1,0,1,0,1,0,1
167,T132275,1,1,0,0,0,0,1,1,0,1
168,T392167,1,0,0,1,0,0,0,0,1,0
169,J315269,1,0,0,0,1,1,1,1,0,0
170,B124449,1,1,0,0,1,1,0,0,1,0
171,P954849,1,0,0,0,1,0,1,0,0,1
172,K20948,1,1,0,0,0,1,0,1,0,1
173,M893176,1,0,1,1,0,1,0,0,0,1
174,P765785,1,0,1,0,1,0,0,0,0,1
175,X780945,1,0,0,1,1,1,0,0,0,1
176,H776847,1,1,0,0,0,1,0,0,1,0
177,A471876,1,0,0,0,0,1,1,0,0,1
178,B424659,1,0,1,1,1,0,1,1,0,0
179,F111037,1,1,1,0,1,1,0,1,0,1
180,S690107,1,0,0,0,0,1,1,0,0,1
181,Q991854,1,0,0,0,0,1,1,1,0,1
182,U560834,1,0,1,1,1,0,0,1,1,0
183,P452772,1,0,0,0,0,1,1,1,0,1
184,B949126,1,1,1,1,1,0,1,1,1,0
185,F697244,1,0,1,0,0,0,0,0,1,0
186,F501848,1,1,0,0,1,0,0,1,1,0
187,Q971369,1,1,1,0,1,0,1,1,0,0
188,W186069,1,0,0,0,0,0,0,0,0,0
189,Y292243,1,1,0,0,1,0,1,1,1,0
190,F333860,1,0,0,0,0,1,0,1,1,0
191,Z534243,1,0,0,0,1,1,1,1,0,1
192,O249806,1,1,1,0,0,0,1,1,1,0
193,V143753,1,1,1,1,0,1,0,0,0,1
194,A715491,1,0,1,0,0,0,1,1,0,1
195,D986940,1,1,0,0,0,1,1,0,0,1
196,Z147347,1,1,1,0,0,0,1,0,0,0
197,W830673,1,0,0,0,1,0,1,0,1,0
198,Q470894,1,0,0,0,0,1,0,1,0,1
199,I584048,1,0,1,0,0,0,0,0,0,0
200,J779175,1,0,0,0,1,1,1,1,0,1
201,O82369,1,0,1,1,1,0,1,1,0,0
202,U528986,1,0,1,0,0,1,1,0,1,0
203,K33780,1,0,1,0,0,1,0,0,0,0
204,M720169,1,1,1,0,0,1,0,1,0,0
205,Q279060,1,0,0,0,0,1,1,0,0,1
206,V840276,1,1,1,0,1,1,0,1,0,1
207,B248010,1,0,0,0,0,1,0,0,0,1
208,C805115,1,1,0,0,1,0,1,0,0,0
209,D89225,1,1,0,0,0,1,0,1,1,0
210,X904034,0,0,0,0,0,1,0,0,0,1
211,B148329,1,1,1,1,0,1,0,0,0,1
212,X914490,1,1,1,0,0,0,0,1,1,0
213,U120690,1,1,1,1,1,1,1,1,0,0
214,F116821,0,0,0,0,1,1,1,1,1,0
215,X389713,1,0,0,1,0,1,0,0,0,0
216,M379067,1,0,0,1,0,0,0,1,1,0
217,A81135,1,0,0,0,1,1,1,0,0,1
218,V280043,1,0,0,0,0,0,0,0,1,0
219,U169694,1,1,1,1,1,1,0,0,1,0
220,N162822,1,0,0,0,0,0,1,0,1,0
221,K618387,0,1,1,0,1,1,1,0,0,1
222,D944092,1,1,0,0,1,1,1,0,0,1
223,F908532,1,0,1,0,0,0,0,0,0,1
224,K380097,1,0,0,0,0,0,1,0,1,0
225,R717119,1,1,0,1,0,0,0,1,1,0
226,X978383,1,0,0,0,0,0,1,0,0,1
227,L693606,0,0,1,0,1,0,0,1,1,0
228,Q486994,1,0,0,0,1,1,1,0,1,0
229,R463442,1,1,1,1,1,0,0,1,0,1
230,O40995,1,0,1,1,1,1,1,1,1,0
231,I933613,1,1,0,0,0,0,1,0,0,1
232,O900811,1,0,0,0,0,1,1,1,1,0
233,F269503,1,0,0,0,1,0,0,0,0,1
234,V549313,1,0,0,1,0,0,1,0,0,0
235,Y254714,1,0,1,0,1,1,0,1,0,0
236,C125388,1,0,1,0,1,1,1,1,1,0
237,D901316,1,0,1,0,1,0,1,1,1,0
238,H906834,1,0,1,1,0,0,0,1,0,1
239,W551882,0,0,0,1,1,1,0,1,1,0
240,D402022,1,0,0,0,0,1,1,0,1,0
241,M545162,1,0,1,0,0,0,1,1,0,1
242,C459569,1,1,0,0,0,0,0,0,0,0
243,O226386,1,1,0,0,0,1,0,0,1,0
244,G954415,1,0,0,0,0,1,1,1,0,1
245,E475593,1,0,1,0,1,0,0,0,0,0
246,D160442,1,0,0,1,0,1,1,1,1,0
247,J757606,1,1,1,0,0,0,0,1,0,0
248,E791178,1,0,1,0,0,0,0,0,0,0
249,U451201,1,0,0,0,0,0,1,0,0,1
250,Z817431,1,1,0,1,1,1,0,0,0,1
251,A295468,1,1,1,1,1,0,0,1,0,0
252,S986240,1,0,1,0,1,1,1,0,0,0
253,H472673,1,0,1,1,0,0,0,0,1,0
254,H146363,0,1,0,0,1,1,1,1,0,0
255,S596844,1,1,0,0,1,1,1,0,1,0
256,K458306,1,0,1,0,0,0,0,1,0,1
257,N279711,1,1,1,1,1,0,0,1,1,0
258,P760514,1,0,1,0,1,0,0,1,0,0
259,H849889,1,0,0,1,0,1,1,1,1,0
260,R379090,1,0,1,0,1,1,1,1,0,1
261,L187290,0,0,1,0,0,0,1,1,0,1
262,X525693,1,0,0,1,0,0,0,1,0,0
263,T515102,1,0,0,1,1,1,0,0,1,0
264,V571104,0,1,1,0,1,1,1,1,1,0
265,V824084,1,0,1,0,1,1,1,0,0,1
266,L189856,1,0,1,1,1,1,1,0,0,1
267,D07066,1,1,0,0,0,1,1,0,0,0
268,N584184,0,0,0,0,0,1,1,0,1,0
269,K578402,1,1,1,1,1,0,1,1,0,0
270,Y413092,1,1,0,1,0,0,1,0,0,1
271,F980573,1,0,0,0,0,1,1,1,0,0
272,I581177,1,1,0,0,0,0,0,0,0,1
273,U469398,1,0,1,0,0,0,0,1,0,0
274,I85282,1,0,0,0,1,0,0,0,0,1
275,Z317359,1,1,0,1,0,1,1,1,0,1
276,I981930,1,0,0,0,0,1,0,1,0,1
277,N227355,1,1,0,1,1,1,1,1,0,1
278,E805998,1,0,1,1,0,0,0,1,0,1
279,J633340,1,0,0,0,1,1,1,0,1,0
280,L762626,1,0,0,0,0,1,0,1,0,1
281,S206250,1,0,0,1,0,1,0,1,1,0
282,C917569,1,1,0,0,0,1,1,1,0,1
283,L282757,1,0,0,0,0,1,1,0,1,0
284,D762674,1,1,1,0,0,1,1,1,0,0
285,N914081,1,0,0,1,0,0,1,1,0,0
286,K905632,1,0,0,0,0,0,1,0,1,0
287,H247341,1,0,0,1,1,0,0,1,0,1
288,N02836,1,1,1,1,0,1,1,1,0,1
289,P742927,1,0,0,0,0,1,0,0,1,0
290,V109553,1,1,1,1,1,0,1,1,1,0
291,J227266,1,1,1,0,0,0,0,1,0,1
292,F881222,1,1,1,1,0,0,1,1,1,0
293,O167724,1,0,0,1,1,0,0,1,0,0
294,Y554348,1,0,1,1,1,0,1,1,1,0
295,N800767,1,1,0,0,1,0,0,1,0,1
296,B363210,1,1,0,0,0,0,0,1,0,1
297,P903407,1,0,0,0,1,0,1,1,0,0
298,O825386,1,0,1,0,1,1,0,0,0,0
299,Q76170,1,0,0,0,1,1,1,1,0,1
300,J04574,1,0,1,1,0,0,1,0,0,1
301,R620556,1,0,0,1,1,0,1,0,0,0
302,S136763,0,1,1,1,1,1,1,0,1,0
303,J790219,1,0,1,0,0,0,1,1,0,1
304,O403373,1,0,0,1,1,0,1,1,0,1
305,S256934,1,0,0,0,0,1,0,1,0,0
306,F693121,1,0,0,0,0,1,0,0,0,0
307,O154545,1,0,1,1,1,0,1,0,1,0
308,A745374,0,0,0,1,1,0,1,1,0,0
309,W893206,1,1,0,1,1,1,0,1,1,0
310,H113074,1,0,1,0,1,0,0,1,0,0
311,J779911,1,1,1,0,0,0,1,1,0,0
312,Y832510,1,0,0,0,1,0,0,0,0,1
313,S528947,1,1,0,1,1,0,1,1,0,1
314,V592787,1,0,0,1,0,0,0,0,0,0
315,H283133,1,0,0,0,1,0,1,0,1,0
316,W884202,1,0,0,0,1,0,1,0,0,1
317,N447597,1,0,0,1,0,1,1,0,0,1
318,C416907,1,1,1,0,0,1,1,1,0,1
319,A51913,1,1,0,0,0,1,1,0,0,0
320,C742414,1,1,0,0,0,0,0,1,0,1
321,B773959,1,1,1,1,0,0,0,0,0,1
322,H691053,0,1,0,0,1,1,0,1,0,1
323,V971650,1,1,0,0,1,1,0,1,1,0
324,L226598,1,1,0,0,0,1,1,1,1,0
325,K730146,1,0,0,1,0,0,0,1,0,0
326,O894158,1,0,0,0,0,1,1,1,1,0
327,H307794,1,1,0,0,1,0,0,0,1,0
328,A318319,1,0,1,0,0,0,1,0,0,0
329,T369132,1,1,0,0,1,1,1,1,0,0
330,T638377,1,0,0,0,1,1,1,1,1,0
331,E369828,1,0,1,0,0,1,1,0,0,1
332,G948882,1,1,0,1,0,1,0,0,0,0
333,Y748946,1,1,0,1,0,1,1,0,1,0
334,O402306,1,1,0,0,0,0,0,1,1,0
335,D493050,1,0,1,1,1,0,0,0,0,1
336,D758871,1,0,0,0,0,0,0,1,1,0
337,F353304,1,0,0,1,0,1,1,1,0,1
338,X960330,1,0,0,0,1,0,0,0,1,0
339,O463102,1,1,1,0,0,0,1,1,0,1
340,W202562,1,1,1,0,1,1,1,0,0,1
341,B323829,1,1,0,0,1,0,0,1,0,0
342,M790643,1,0,1,0,0,0,1,0,0,1
343,D555108,1,0,1,1,1,0,1,0,1,0
344,W839946,0,0,1,1,0,0,0,1,0,0
345,O511762,1,0,0,0,1,1,1,1,1,0
346,B118954,1,1,1,1,0,1,1,1,1,0
347,N28336,1,0,0,1,1,1,1,1,1,0
348,B871043,0,1,0,1,0,1,0,0,0,0
349,S317408,1,0,1,0,0,0,0,1,0,1
350,S255098,1,0,0,0,1,1,1,1,1,0
351,X426072,1,1,1,1,0,0,1,1,1,0
352,W452692,1,0,0,1,0,0,1,1,0,1
353,F858862,1,0,0,1,1,1,0,0,0,1
354,L944489,1,0,1,1,1,1,1,0,0,0
355,K681982,1,0,1,0,0,0,0,0,1,0
356,F240900,1,0,1,1,0,0,1,1,0,1
357,R164095,1,1,0,1,0,0,0,0,0,0
358,O534672,1,0,0,1,0,0,1,0,1,0
359,K473134,1,1,0,0,0,1,1,0,0,0
360,W211742,1,0,0,0,0,1,1,1,0,0
361,H500107,1,0,0,1,0,1,1,1,0,1
362,E998043,1,0,0,0,0,1,0,1,0,0
363,E965565,1,0,0,0,1,0,1,0,0,1
364,S332430,1,1,0,0,0,0,1,0,0,1
365,L596007,1,1,1,1,0,0,0,1,1,0
366,R760429,1,0,0,0,0,0,0,0,0,0
367,N954926,1,0,0,0,1,0,1,1,0,0
368,Z164087,1,0,0,1,1,1,0,1,0,1
369,Z714373,0,1,1,1,0,1,0,0,1,0
370,E862109,1,0,0,1,1,1,0,1,0,1
371,S777773,1,0,1,1,1,0,0,0,0,1
372,K974970,1,1,1,0,0,1,0,1,0,1
373,S411723,1,1,0,0,0,1,0,1,0,0
374,C867654,1,1,0,0,1,0,1,1,1,0
375,V529956,1,1,0,1,1,1,0,1,0,0
376,L538003,1,0,0,0,1,0,0,1,0,0
377,P120818,1,1,0,1,0,0,0,1,1,0
378,H401803,1,0,0,0,0,0,0,0,0,1
379,W309763,1,1,1,0,0,1,1,1,1,0
380,X715086,1,0,1,0,1,0,1,1,0,1
381,L72577,1,0,0,0,0,0,1,0,1,0
382,R753498,1,1,1,0,1,1,1,0,0,1
383,U843827,1,1,1,1,0,0,0,0,0,1
384,L152937,1,0,1,1,1,1,0,1,0,1
385,D765207,1,0,0,0,0,0,0,1,1,0
386,N700604,1,0,0,0,0,1,0,1,1,0
387,J316639,1,0,1,0,0,0,0,1,0,1
388,Y517622,1,1,1,1,1,0,1,0,0,0
389,P454810,1,1,1,1,0,0,1,1,0,0
390,H757186,1,1,0,0,1,0,1,0,0,1
391,A653303,1,0,1,0,0,1,1,0,0,1
392,J307751,1,1,0,0,1,1,1,1,0,0
393,N206516,0,1,1,1,1,1,0,0,0,0
394,W592004,1,0,0,1,1,1,1,1,1,0
395,Q445599,1,0,0,1,0,0,0,1,1,0
396,P651840,1,0,0,0,1,1,1,1,1,0
397,F902621,1,1,1,0,1,1,0,1,0,0
398,K455778,1,1,1,1,0,1,1,1,0,1
399,H686155,1,0,0,0,0,0,0,1,0,1
400,G769178,1,0,0,1,0,1,1,1,0,1
401,V150452,1,0,0,1,0,0,1,0,1,0
402,P688672,1,1,1,0,1,0,1,1,0,1
403,I31591,1,0,1,1,0,1,1,1,0,0
404,W339489,1,1,0,1,0,0,1,1,1,0
405,Y795644,1,1,0,0,1,0,0,1,0,1
406,Z42949,1,1,0,1,0,0,0,1,0,1
407,K702957,1,1,1,0,0,1,0,0,0,1
408,U27325,1,0,1,0,1,1,0,1,0,1
409,N804575,1,1,0,0,1,1,1,1,0,1
410,P54060,1,0,0,1,1,0,1,0,1,0
411,L363925,1,1,1,1,1,0,0,1,1,0
412,S253484,1,0,0,0,0,0,0,1,0,1
413,A859738,1,1,1,0,0,1,0,1,0,1
414,R548809,1,0,1,1,0,1,0,0,0,1
415,U138913,1,0,0,1,1,1,1,0,0,0
416,M244790,1,0,1,1,0,0,0,1,1,0
417,W610913,1,1,0,0,0,0,0,1,0,1
418,H932939,1,1,0,1,1,0,1,0,0,1
419,X00931,1,0,1,0,0,0,1,1,0,1
420,P218828,1,0,1,0,1,1,0,1,1,0
421,P365450,1,0,1,0,1,0,1,0,1,0
422,R912808,1,0,0,0,1,1,1,1,1,0
423,J883265,1,0,1,0,1,0,1,0,0,1
424,L161656,1,0,0,0,1,0,0,1,0,1
425,O412044,0,0,1,0,0,1,1,0,0,1
426,X299129,1,0,1,0,1,0,0,0,0,1
427,O987713,1,1,0,0,1,0,1,0,1,0
428,I415253,1,1,0,0,1,1,0,1,0,1
429,L983845,1,0,0,1,1,0,0,1,0,0
430,G661518,1,0,0,0,0,0,1,1,0,0
431,Z511670,1,1,1,0,1,0,1,1,0,1
432,I745729,1,0,1,0,0,0,0,0,0,1
433,K814248,1,0,1,0,1,0,1,1,0,0
434,K719786,0,0,0,0,1,0,1,1,0,1
435,Y874048,1,0,0,0,1,1,0,0,0,1
436,A940721,1,1,0,0,1,0,0,1,0,0
437,V402063,1,1,1,0,1,1,1,0,0,0
438,D770283,1,0,0,0,0,1,0,0,0,1
439,Y701439,1,1,0,1,1,0,1,1,0,1
440,Z281810,1,1,1,0,1,1,1,0,0,1
441,O403114,1,1,0,0,0,0,0,1,1,0
442,B442948,0,0,0,0,1,1,0,1,0,1
443,H620644,0,0,1,1,1,1,1,0,1,0
444,N573961,1,1,1,0,0,0,0,0,0,0
445,I403839,1,1,1,0,1,0,1,0,1,0
446,F812880,0,0,0,0,0,1,1,0,0,1
447,L74134,1,0,0,0,0,0,0,1,1,0
448,B255311,1,0,0,0,0,0,1,1,1,0
449,O764702,0,0,0,1,1,0,0,1,0,1
450,D269899,0,0,0,1,1,0,0,1,0,1
451,W291881,1,0,1,0,1,0,0,1,0,1
452,L409845,1,0,1,0,0,0,0,0,0,1
453,L647810,1,0,1,0,0,1,0,1,0,1
454,G97647,1,0,1,0,0,1,0,1,1,0
455,F519639,1,1,1,0,1,1,1,1,0,0
456,J291465,1,0,0,0,0,1,1,1,0,0
457,V170205,1,0,0,0,1,0,1,0,0,1
458,Y172017,1,0,0,0,0,0,0,1,0,0
459,E996692,1,0,1,1,0,0,0,1,0,1
460,J207539,1,0,0,1,0,1,1,1,0,1
461,I797960,1,1,0,1,0,0,0,0,0,0
462,Y592744,1,0,0,0,0,1,1,0,0,1
463,D391430,1,0,0,1,1,0,0,0,0,0
464,Q783171,1,0,0,1,0,1,0,1,0,1
465,K796504,1,0,0,0,0,1,0,0,1,0
466,F157997,0,0,0,0,0,0,0,1,0,1
467,G73581,1,0,0,0,0,1,1,1,1,0
468,C875992,1,0,0,0,1,1,0,1,1,0
469,S473175,1,1,1,0,0,1,0,0,0,0
470,Q585011,1,0,1,0,0,1,0,0,0,1
471,M353309,1,0,1,1,0,1,0,1,0,1
472,F900891,1,0,0,0,1,1,0,1,0,0
473,L957640,1,0,0,0,1,0,1,0,0,1
474,M521755,0,1,1,1,1,1,0,0,1,0
475,C960228,1,0,0,0,1,1,0,0,1,0
476,J12843,1,0,1,0,1,1,0,0,0,0
477,P960014,1,0,0,0,1,0,0,1,0,1
478,T912154,1,0,1,1,1,1,1,1,0,1
479,G696221,0,0,1,0,0,1,1,0,0,1
480,W987755,1,0,1,0,1,0,1,0,0,1
481,R934959,1,1,0,0,1,1,1,1,0,1
482,B264341,1,0,1,0,1,1,0,1,0,1
483,Q20365,1,0,0,0,1,0,0,0,1,0
484,W415051,1,0,1,0,0,0,0,0,0,1
485,Z477994,1,1,0,0,1,0,0,0,0,1
486,D195797,1,0,1,1,1,1,1,1,0,1
487,V615478,0,0,1,0,0,0,0,0,0,1
488,U577089,1,1,0,1,1,1,0,1,0,1
489,N275150,1,1,0,0,0,1,1,1,0,1
490,A500103,0,1,0,0,1,0,1,1,0,0
491,J308893,1,1,1,1,0,1,1,0,1,0
492,P892051,1,1,1,1,0,0,0,0,1,0
493,L947038,1,1,1,0,0,1,1,1,0,1
494,F498478,1,0,0,0,1,1,0,0,0,1
495,H75117,1,0,0,0,1,1,1,1,0,1
496,H292733,1,0,0,0,1,1,1,1,0,1
497,L124227,1,1,1,0,0,1,0,0,1,0
498,Z253470,1,1,0,0,0,0,0,0,1,0
499,F161487,1,0,1,0,0,1,1,1,1,0
500,T434750,1,0,0,0,0,0,0,0,1,0
501,P43762,1,0,1,1,1,0,1,0,0,1
502,D309783,1,1,1,1,0,0,0,0,1,0
503,B310750,1,0,1,0,1,1,1,0,0,1
504,T663920,0,1,1,1,1,0,1,0,0,1
505,N523308,1,0,1,0,0,1,1,0,1,0
506,B759427,1,0,1,0,0,1,0,1,1,0
507,Y802622,1,0,0,0,0,0,0,0,0,1
508,T375340,1,0,1,0,1,0,1,0,0,0
509,H782363,1,1,0,0,0,0,1,0,0,0
510,Z515622,1,1,0,0,1,0,0,1,1,0
511,X286988,1,0,0,0,0,0,0,0,1,0
512,E634326,1,1,1,0,1,1,1,1,1,0
513,S785720,1,0,0,1,0,1,1,0,1,0
514,A349493,1,0,0,0,0,1,1,0,0,0
515,W795143,1,0,0,0,0,1,1,1,0,0
516,Y768966,1,0,1,0,1,1,1,0,0,1
517,H843808,1,1,1,1,0,0,1,0,0,1
518,A853801,1,0,1,0,0,0,1,0,1,0
519,K296336,1,0,0,0,1,1,0,1,0,0
520,R851367,1,0,0,1,1,0,1,1,0,0
521,V74560,1,0,1,0,0,0,1,0,1,0
522,F383331,1,0,0,1,0,0,0,1,0,1
523,E770575,1,1,0,1,1,0,0,1,1,0
524,N217934,1,0,0,1,1,0,1,1,0,0
525,E108315,1,0,0,1,0,0,1,1,1,0
526,Z274952,1,0,0,0,0,1,0,0,1,0
527,I10685,1,0,1,1,1,1,1,1,1,0
528,G417957,1,1,1,1,0,0,0,1,0,1
529,G777381,1,0,0,0,1,1,0,0,0,0
