,Age,Children,Churn,Contacts,DeviceProtection,Email,Fiber Optic,Income,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Male,Married,MonthlyCharge,Multiple,Never Married,Nonbinary,One year,OnlineBackup,OnlineSecurity,Outage_sec_perweek,PaperlessBilling,Phone,Port_modem,Separated,StreamingMovies,StreamingTV,Tablet,TechSupport,Techie,Tenure,Two Year,Widowed,Yearly_equip_failure,Bandwidth_GB_Year
28,20,3,1,2,1,13,0,10482.52,3,4,3,3,2,4,4,2,0,0,200.132293,0,0,0,1,0,0,13.43558029,0,1,0,1,1,1,0,0,1,1.430386349,0,0,0,1259.415493
29,69,4,1,1,1,18,0,33442.79,4,4,4,3,2,5,5,4,1,0,257.651257,1,1,0,0,1,1,10.61771118,1,1,0,0,1,1,1,0,0,5.425864884,1,0,0,1745.125956
30,45,9,0,0,0,14,1,43383.54,3,2,1,5,3,3,3,2,1,1,230.105118,0,0,0,0,1,0,6.613070806,1,0,1,0,1,1,0,0,0,11.08287797,1,0,0,1795.465729
31,40,0,0,2,0,13,0,21793.88,2,3,4,3,3,2,4,3,0,0,147.489301,1,1,0,0,1,0,4.450171647,0,1,0,0,0,0,1,1,0,3.586184954,1,0,0,492.4771472
32,82,6,1,0,0,9,1,51960.51,4,4,4,5,2,5,3,5,0,0,230.105118,0,0,0,0,1,0,8.774646693,1,1,1,0,1,1,1,0,0,4.727388465,0,0,0,1013.993166
33,74,5,1,1,0,8,0,25942.1,5,5,4,3,5,3,4,1,1,0,174.958118,1,0,0,0,1,1,11.13156721,0,1,0,1,0,1,0,0,0,20.89923386,0,0,1,2680.762173
34,69,4,1,1,1,15,1,11211.59,6,5,5,5,2,6,5,5,1,0,267.664655,1,0,0,1,0,1,5.540788887,0,1,1,0,1,1,0,1,0,3.471329958,0,1,0,1081.814362
35,52,1,1,0,0,11,0,8283.29,4,2,3,4,3,3,4,3,1,0,162.483267,1,1,0,0,1,1,13.80362698,1,1,1,0,0,0,0,1,0,5.478588204,0,0,1,1209.961168
36,26,2,1,1,1,16,1,10114.81,4,3,5,5,2,4,5,5,0,0,229.993134,1,1,0,0,1,1,16.31017089,1,1,1,0,1,0,0,1,0,3.312991809,0,0,1,897.5919144
37,25,1,0,2,1,9,0,36229.21,5,6,4,2,5,3,3,3,0,0,140.00128,1,1,0,1,0,1,9.447065309,1,1,1,0,0,0,1,0,0,7.161561527,0,0,0,1340.930156
38,66,1,0,1,0,12,1,25397.44,4,4,3,4,2,4,4,5,0,0,184.964681,0,0,0,0,1,1,16.84100845,0,1,1,0,1,0,0,1,0,9.847563364,1,0,0,1113.993679
39,72,1,0,1,1,10,1,50336.5,3,4,3,6,4,4,6,2,1,0,147.473844,0,0,0,0,1,0,7.972937227,0,1,1,0,0,0,0,0,0,16.04202196,1,0,1,1530.10769
40,21,3,0,1,1,12,1,38211.37,5,2,3,3,3,5,4,4,0,0,172.457857,0,0,0,0,1,0,11.42906608,1,1,0,0,0,1,0,0,0,9.179779682,0,0,0,1310.137419
41,55,3,0,2,0,16,0,52887.26,3,3,2,3,5,4,3,3,1,1,107.481989,0,0,0,0,0,1,8.06137096,1,1,1,0,0,0,0,1,0,3.002844144,0,0,0,892.8964931
42,41,4,1,1,0,11,1,12003.33,3,3,3,5,1,4,3,4,1,0,255.141716,1,0,0,0,0,1,12.54780492,0,1,1,0,1,1,0,1,0,3.924254455,1,0,2,1125.581944
43,32,4,0,0,0,13,1,24090.62,3,3,3,3,4,3,3,4,1,0,192.456745,1,1,0,0,0,0,8.255565152,1,1,1,0,1,0,1,1,0,18.55959629,1,0,0,2016.710031
44,22,0,1,0,0,6,1,15137.93,4,4,4,4,3,4,3,4,0,0,242.632554,1,1,0,0,0,1,13.156514,1,1,1,0,1,1,0,0,0,8.798394712,1,0,0,1412.736809
45,44,2,1,1,1,5,0,54458.38,3,3,2,2,4,3,5,2,0,0,245.174977,1,0,0,0,1,1,10.58349704,1,1,1,0,1,1,1,0,0,10.377366,0,0,0,1710.689671
46,23,2,1,1,0,11,1,132116.33,4,4,5,2,2,4,3,3,1,0,184.964681,0,0,0,0,1,1,12.50184778,1,1,1,0,1,0,0,1,0,22.25746016,0,0,0,2384.885909
47,43,3,1,1,1,11,1,37358.13,4,5,3,4,3,3,4,3,0,0,195.006206,1,1,0,0,1,1,9.750038902,1,1,0,0,0,0,0,1,1,9.427146079,0,0,0,1213.940165
48,86,1,0,2,0,11,0,26534.16,3,4,3,2,3,3,3,3,0,0,104.962874,0,0,0,0,0,0,7.868660851,0,1,1,1,0,1,0,0,0,7.760290062,1,0,2,740.010722
49,84,2,0,0,0,14,0,76430.83,3,3,4,3,5,3,3,4,0,1,92.488023,0,0,0,0,0,0,12.43563329,1,1,0,0,0,0,1,1,0,11.56938439,0,0,1,897.9716153
50,62,2,1,3,1,13,0,4662.37,2,2,3,4,3,5,2,4,0,0,184.979684,1,0,0,0,0,0,8.957166926,0,1,1,1,1,0,0,1,0,3.343811019,0,0,0,1026.387172
51,68,5,1,1,1,12,0,43820.85,2,3,3,5,4,2,3,2,0,0,187.656013,0,0,0,0,0,0,8.015021713,1,1,1,0,1,1,0,0,0,7.338869531,0,0,0,1234.244324
52,59,1,0,0,1,8,1,38391.55,4,4,4,3,4,2,5,4,0,0,149.962093,0,1,0,0,0,0,4.210347704,1,1,0,0,0,1,0,0,0,5.486534225,0,0,0,727.3731845
53,31,0,1,0,0,6,1,44137.6,4,4,3,4,4,4,2,3,0,0,169.944668,1,0,0,1,0,0,11.13960534,1,1,0,1,0,1,0,0,1,1.55278221,0,0,0,452.8721504
54,51,0,1,2,1,11,1,14364.65,4,2,4,5,4,3,3,4,1,0,160.00128,1,0,0,0,0,1,9.03738856,1,1,1,0,0,0,0,0,0,12.07970325,0,1,0,1296.674543
55,58,1,0,1,1,11,0,62359.91,3,4,3,6,3,4,5,3,0,0,129.962093,0,0,0,1,0,0,10.91594785,0,1,0,1,0,1,0,0,0,13.98666226,0,0,1,1840.628269
56,73,1,1,0,0,11,0,82634.86,5,4,3,5,3,3,5,4,1,1,114.950905,0,0,0,0,1,0,8.387624096,1,1,0,0,0,0,0,0,0,9.563362997,0,0,1,1324.330108
57,33,1,0,0,1,11,0,15690.25,4,5,5,5,4,4,4,5,0,0,142.515576,0,0,0,0,0,1,11.4487514,1,1,0,0,1,0,0,1,0,6.732948946,1,1,1,958.1397059
58,58,1,1,2,0,15,0,14568.7,3,5,3,2,4,5,5,4,1,0,220.14775,1,0,0,0,0,0,10.22013704,1,1,1,1,1,1,0,1,0,15.72071086,1,0,0,1868.864027
59,49,0,0,1,1,9,1,29207.46,5,5,3,4,4,5,5,4,0,0,124.97808,0,1,0,0,0,0,8.425458142,1,1,0,0,0,0,0,0,0,7.233605493,1,0,0,676.712908
60,26,1,0,1,0,12,0,55319.23,5,5,4,4,3,4,4,4,0,0,164.964681,0,1,0,1,1,1,8.386280619,1,1,0,0,1,0,1,1,0,2.871017037,0,0,0,1086.990308
61,25,1,0,3,1,10,1,81831.49,3,4,3,2,3,4,2,4,1,0,194.976769,1,0,0,0,0,0,9.565924291,0,1,1,0,0,1,0,1,0,2.344875382,0,1,0,704.7540406
62,42,0,1,3,0,14,0,100076.65,5,5,5,4,3,2,4,4,0,0,152.455519,0,0,0,0,1,1,10.79349982,1,1,1,1,1,0,0,0,0,7.960490246,0,0,0,1416.444695
63,81,1,0,0,1,15,0,69965.65,5,5,5,3,4,3,2,5,1,0,92.5018,0,0,0,0,0,0,6.081975067,0,1,0,0,0,0,1,0,0,12.25062113,0,1,0,1095.950634
64,43,1,0,0,1,13,0,34883.69,4,4,4,3,4,4,3,3,0,0,127.488728,0,0,0,0,0,0,13.55065547,1,1,0,0,1,0,1,0,1,9.634946079,0,0,0,1083.610268
65,63,2,0,1,1,14,0,45634.2,3,4,3,3,4,4,4,3,1,0,184.963371,1,1,0,0,1,0,9.470419821,0,1,1,0,0,1,0,0,0,7.916533093,1,0,0,1570.641337
66,70,3,1,0,1,11,1,10964.73,3,3,2,4,4,3,3,3,0,1,265.146969,1,0,0,0,0,0,6.194985909,1,1,1,0,1,1,0,1,0,4.471254161,0,0,1,1007.425553
67,78,1,1,1,0,19,1,22365.28,4,4,3,6,2,5,7,4,1,0,207.609354,0,0,0,0,0,0,10.80393657,0,1,0,0,1,1,0,0,0,10.79028074,0,1,0,1323.028419
68,48,0,0,0,0,17,0,52636.6,3,1,2,2,5,2,2,1,1,0,152.462354,1,0,0,0,0,1,7.903964267,0,1,1,1,0,1,1,0,0,12.24190682,0,0,1,1808.730555
69,63,1,1,2,1,18,0,19048.13,4,4,4,5,4,4,4,3,0,0,200.132293,0,0,0,0,0,0,11.27443693,1,1,1,1,1,1,0,0,1,2.203859443,0,0,1,1120.241472
70,60,4,1,0,0,12,0,42784.82,5,5,6,5,3,7,5,5,0,1,212.655686,0,0,0,1,1,1,6.129509309,0,1,1,0,1,1,1,1,0,23.92132231,0,0,0,2676.789803
71,87,0,1,0,0,17,0,77996.88,3,3,4,5,4,3,5,4,1,0,255.119794,1,0,0,1,1,0,7.969277912,1,1,1,0,1,1,0,1,1,3.7311787,0,0,0,1268.086909
72,54,3,0,0,0,9,1,47507.3,2,3,3,3,5,2,2,3,0,1,134.950905,0,0,0,0,1,0,4.368120492,1,1,1,0,0,0,0,0,0,7.980015371,1,0,0,822.6771666
73,35,3,1,0,1,9,1,7724.73,4,3,2,3,3,3,3,4,1,0,255.137219,0,0,0,0,1,0,6.258356398,1,1,1,0,1,1,0,1,0,9.190009376,0,0,1,1577.915603
74,70,1,1,0,1,16,1,1509.52,4,4,4,5,2,3,4,4,1,0,214.966286,1,1,0,0,1,0,12.92303286,0,1,0,0,1,0,0,0,0,2.378630018,0,0,0,648.7471776
75,67,2,1,0,1,13,0,81124.71,3,3,4,3,5,3,3,4,0,1,270.160419,1,0,0,1,1,1,12.43301273,1,1,1,0,1,1,1,1,0,5.43464555,0,0,0,1648.102673
76,46,4,1,0,1,11,0,11795.57,1,1,2,2,3,1,3,2,0,0,200.165175,0,0,0,0,0,0,7.607663559,1,0,0,0,1,1,0,1,0,1.092361222,1,1,0,768.0874545
77,50,1,0,2,0,10,0,74794.84,2,2,3,4,3,3,4,4,1,0,149.937833,0,1,0,0,1,0,7.442789019,0,1,0,0,1,0,0,0,0,20.13981517,1,0,1,2426.030626
78,24,1,1,1,0,18,1,19038.78,4,4,5,1,4,4,3,3,0,0,240.114868,1,1,0,0,0,0,13.04429298,1,1,0,0,1,1,1,0,0,24.64873861,0,0,0,2660.503932
79,20,0,0,0,1,17,1,79167.77,3,4,3,4,5,4,3,3,1,0,127.495766,0,0,0,0,0,1,14.89762162,1,1,0,0,0,0,1,0,0,9.677739656,0,0,0,1129.549713
80,29,1,1,2,0,13,0,37428.26,3,4,3,2,5,3,3,4,0,1,187.609354,0,0,0,1,0,0,13.79387475,0,1,1,0,1,1,0,0,0,9.82814183,0,0,1,1771.286466
81,31,0,0,1,1,6,1,45148.38,3,3,3,4,4,3,4,4,1,0,169.992756,1,0,0,0,0,0,15.66367593,0,1,1,0,0,0,0,1,1,7.832238337,0,0,0,943.3391244
82,72,5,0,3,0,13,1,74855.47,4,4,4,3,1,5,4,4,0,0,192.456745,1,0,0,0,0,0,8.513410306,0,1,1,1,1,0,0,1,0,19.45250317,1,0,0,1907.226083
83,71,4,0,1,1,10,0,45323.86,4,4,3,3,4,3,2,5,1,0,120.004928,0,0,0,0,0,1,8.265002035,1,1,0,0,0,0,1,1,0,14.34766616,0,0,0,1885.939118
84,32,2,0,0,1,11,1,71596.14,5,3,5,5,3,3,5,2,0,0,195.006206,1,0,0,1,1,1,8.6026551,0,1,1,0,0,0,0,1,0,2.257358355,0,0,0,631.7435653
85,33,0,0,1,0,15,1,10389.95,3,3,4,3,3,4,3,6,1,0,139.95684,0,1,0,1,0,1,6.03993035,1,1,0,0,0,1,0,0,0,2.358129018,0,0,0,562.6095219
86,67,3,0,3,0,12,0,19657.14,3,3,2,2,5,4,2,3,1,0,114.983787,0,0,0,0,1,0,14.6040829,1,1,0,0,0,0,0,1,1,4.650578623,0,1,0,593.8572264
87,66,0,1,1,0,13,0,27827.03,4,3,3,6,1,4,3,3,0,0,207.638588,1,0,0,0,0,0,7.274007029,0,1,1,0,1,1,0,0,0,3.721772616,0,0,1,777.3060718
88,21,4,1,4,0,12,0,15609.05,4,4,4,3,3,3,3,5,0,0,187.609354,0,0,0,0,0,0,8.913898759,1,1,1,1,1,1,0,0,0,3.76663012,0,0,0,1393.202392
89,61,0,0,0,0,13,1,19815.63,3,2,3,4,3,4,5,4,0,0,134.950905,0,1,0,1,1,0,11.59313893,1,1,1,0,0,0,1,0,0,4.151256695,0,0,2,393.6524652
90,75,0,1,0,1,13,1,58482.9,3,3,3,3,3,4,3,3,0,0,192.470522,1,0,0,0,0,0,8.294186076,1,1,0,1,1,0,0,0,0,2.188918771,0,0,0,409.7486664
91,63,0,1,1,1,9,0,41656.53,3,2,3,2,4,3,2,4,0,0,222.628057,0,0,0,0,1,0,15.19664016,1,0,1,0,1,1,1,0,0,13.85488928,0,1,0,2138.107161
92,68,0,0,1,0,3,1,115510.46,2,2,2,4,3,3,4,3,0,0,162.468917,0,0,0,0,0,1,5.083995994,1,1,1,1,1,0,0,1,0,3.273341151,1,0,0,443.984031
93,32,2,1,1,1,7,0,15841.19,2,2,3,3,3,3,3,3,1,0,159.979358,1,1,0,0,1,0,6.942719201,0,1,1,0,0,0,0,0,0,19.75096265,1,0,1,2481.385603
94,76,0,0,1,1,7,0,81127.41,3,2,3,4,2,4,5,3,1,0,184.979684,1,1,0,0,0,0,9.834012571,1,1,0,0,1,0,1,1,0,18.38404445,1,0,0,2233.567181
95,29,0,1,0,1,13,1,24270.88,5,5,4,5,1,5,5,4,0,0,245.145743,0,0,0,0,1,1,11.0596826,1,1,0,0,1,1,0,0,0,4.672610857,0,0,0,1158.91369
96,83,0,0,0,1,17,1,54466.33,4,4,4,3,2,4,3,4,0,1,124.97808,0,0,0,0,0,0,8.834079073,0,1,0,0,0,0,0,0,0,6.796299371,0,0,1,529.40733
97,23,10,1,1,1,14,1,64816.84,3,2,2,4,3,2,3,2,1,0,187.484705,0,0,0,0,1,1,5.271228601,0,1,0,0,0,1,0,1,0,12.97632235,0,0,1,1956.7337
98,80,5,0,1,1,15,1,103311.26,5,4,4,3,4,4,5,5,1,0,162.500692,0,1,0,0,1,1,9.394961367,1,1,0,0,0,0,0,1,0,20.31163945,0,0,0,2056.386979
99,20,0,0,1,1,11,1,40211.04,3,4,3,5,2,6,6,6,1,0,182.467607,1,1,0,1,0,0,14.4754365,1,1,0,0,0,1,0,0,0,6.998814446,0,0,1,1067.373076
100,69,0,1,1,1,12,0,58077.38,3,2,3,5,3,4,4,3,1,0,222.660939,0,0,0,0,1,0,10.68311773,1,0,0,1,1,1,0,1,0,14.46288204,0,0,1,1806.135733
101,32,1,0,1,1,10,1,43466.35,3,4,4,4,3,4,2,3,1,0,182.467607,1,1,0,1,0,0,13.79409442,1,1,0,0,0,1,0,0,0,11.13472066,0,0,0,1397.701335
102,53,0,1,1,1,19,0,23289.77,2,4,3,2,3,3,5,3,0,0,220.161527,1,0,0,0,0,0,12.40165307,1,1,0,0,1,1,1,0,0,2.542296644,0,0,0,808.4305471
103,25,2,0,1,0,9,1,49158.49,4,4,3,4,3,3,3,4,1,0,169.937833,0,0,0,0,1,0,10.24782033,1,1,0,1,1,0,0,0,0,17.22596021,1,0,0,1886.531937
104,69,0,1,0,1,16,1,3805.84,3,3,3,3,2,4,4,4,1,0,204.963371,1,0,0,0,1,0,14.86100819,1,0,1,0,0,1,0,0,0,22.79214163,0,0,2,2294.781131
105,71,3,1,2,1,10,1,52616.27,3,5,3,2,4,2,4,2,1,0,204.963371,1,0,0,0,1,0,6.716953195,0,1,0,0,0,1,0,0,0,3.823689744,0,1,1,826.3438621
106,53,3,1,1,0,18,0,30550.42,3,3,2,4,3,2,4,3,0,0,245.128318,1,0,0,0,1,1,8.124258176,0,1,0,0,1,1,0,0,0,10.77094687,0,1,0,2072.564168
107,56,2,1,0,0,11,0,12154.01,4,4,3,3,5,3,2,2,0,0,172.473314,1,0,1,0,1,0,14.60903837,1,1,0,0,0,1,1,1,0,13.08671185,0,0,2,1436.793746
108,42,0,1,2,0,9,0,30649.31,4,3,4,3,5,4,2,3,1,1,172.456745,1,0,0,0,0,0,12.65015936,0,0,1,0,1,0,0,1,0,14.76468813,0,0,2,1963.332683
109,33,3,1,0,1,14,1,31417.33,2,2,2,2,4,2,3,2,1,1,194.976769,1,0,0,0,0,0,12.0281501,1,1,0,0,0,1,0,1,0,9.473091121,0,0,0,1324.164906
110,47,1,0,1,0,16,1,55861.19,4,4,4,4,3,3,4,3,1,0,137.439154,0,0,0,0,0,0,15.68043093,1,1,0,0,0,1,0,0,0,5.197446331,0,0,0,704.9375603
111,48,1,1,3,1,18,1,9044.26,3,4,4,4,2,3,4,4,0,0,192.470522,1,0,0,0,0,0,11.30421466,1,1,1,0,1,0,1,0,0,6.577552683,1,1,1,888.6517305
112,63,0,1,1,0,10,1,25381.66,4,3,4,2,3,3,3,3,0,0,159.951231,0,1,0,0,0,0,10.26646787,0,1,1,0,1,0,0,1,0,3.174571918,0,0,0,377.0810282
113,40,1,0,0,0,9,1,65064.31,3,3,3,3,3,3,3,4,1,0,112.455141,0,0,0,0,0,0,7.56618217,1,1,0,0,0,0,0,0,0,17.88002366,0,1,0,1606.489936
114,67,0,1,2,0,14,1,12527.51,5,4,4,3,3,5,3,4,1,0,174.961766,0,0,0,0,1,1,10.40677369,1,1,0,0,0,1,0,1,1,13.12190056,0,0,0,1431.409396
115,56,0,0,3,0,13,1,35499.06,6,5,4,4,4,3,5,3,0,0,162.452604,0,0,0,0,1,1,7.146124361,0,1,0,0,0,1,0,0,1,23.34617699,0,0,0,2253.85247
116,24,6,0,1,1,10,0,26282.4,5,5,4,3,3,3,3,3,0,1,137.483594,1,0,0,1,0,0,9.807530479,1,1,1,0,0,0,1,0,1,6.311709178,0,0,0,1353.29384
117,79,2,0,3,1,12,1,51237.28,4,5,4,4,1,4,4,4,0,0,275.133571,1,0,0,0,1,0,10.61217014,1,1,0,0,1,1,1,0,0,12.58298231,1,0,0,1701.457566
118,61,3,1,1,0,16,0,64222.21,4,3,4,5,3,5,4,4,1,1,127.442069,0,0,0,0,0,0,5.785085772,0,1,1,0,1,0,0,0,0,7.120096363,0,0,1,1290.737183
119,38,0,1,2,0,11,0,11014.98,4,4,4,4,3,4,4,4,1,0,210.138,0,0,0,0,1,0,9.062879297,0,1,0,0,1,1,0,1,1,9.344886869,1,0,0,1403.270091
120,28,4,0,1,0,13,0,21172.49,5,4,5,2,3,4,4,3,0,0,147.456419,1,0,0,0,1,0,16.54443477,1,1,0,0,0,0,0,0,1,22.37815032,1,0,0,2603.903672
121,44,3,1,2,1,8,0,26130.78,4,4,2,3,3,4,5,5,1,0,242.657291,1,0,0,1,1,0,4.539566699,1,1,1,0,1,1,1,0,0,4.799514433,0,0,0,1256.287854
122,65,1,0,2,0,14,0,36478.21,2,2,3,4,3,3,4,4,1,0,114.983787,0,0,0,0,1,0,7.251198724,1,1,0,0,0,0,1,1,1,10.04672315,0,1,0,980.9935923
123,35,3,0,2,1,15,0,54533.63,4,4,4,3,4,3,3,4,0,0,187.656013,0,0,0,0,0,0,8.943293567,1,1,1,0,1,1,1,0,0,8.156552837,0,0,1,1347.869205
124,31,2,0,3,1,9,0,37103.18,2,2,3,5,5,1,2,2,0,0,149.991327,1,0,0,0,0,0,12.57884215,0,1,1,1,0,1,0,0,0,7.992791229,1,0,1,1127.267848
125,34,2,0,0,0,11,0,74679.84,4,3,3,3,4,5,4,4,1,0,124.960655,1,0,0,0,0,0,11.64836306,0,1,1,0,0,0,1,0,1,7.231032028,1,1,1,1269.836202
126,68,2,1,0,1,13,0,95028.57,3,3,3,3,4,3,3,3,1,0,220.161527,1,0,0,0,0,0,6.076260652,1,1,1,1,1,1,1,0,0,4.627672042,0,0,0,1038.745378
127,62,0,0,0,1,9,0,34281.1,5,5,4,2,5,3,4,3,1,0,172.48852,1,1,0,0,1,0,11.75681641,0,0,0,0,0,0,0,1,0,10.05306287,1,0,0,1531.155367
128,52,0,0,0,1,14,0,36240.81,4,4,5,3,3,4,4,5,1,0,120.004928,0,0,0,0,0,1,9.173739977,0,1,1,1,0,0,1,1,0,4.171044392,1,0,1,991.2441024
129,32,5,1,4,1,11,0,9515.64,2,1,2,4,3,5,3,1,1,0,220.161527,1,0,0,0,0,0,8.353693631,1,1,0,0,1,1,0,0,0,4.568682641,0,0,0,1244.296865
130,47,0,1,0,1,10,0,125814.88,3,3,4,2,4,4,3,2,0,0,139.965008,0,0,0,0,0,0,10.74539526,1,1,1,0,1,0,0,0,0,6.085030507,0,0,1,1162.332926
131,66,8,0,1,0,12,1,12995.68,3,3,3,6,3,6,5,4,0,0,159.951231,0,0,0,0,0,0,11.36323648,1,1,1,0,1,0,0,1,0,2.730250735,0,0,1,577.1157824
132,70,1,1,1,0,14,0,77531.43,2,3,2,4,4,2,1,3,0,0,184.949594,1,0,0,0,1,0,2.310584634,0,1,1,0,0,1,0,1,0,8.574901206,0,0,0,1442.974877
133,41,3,1,0,1,10,1,87354.99,5,5,3,4,4,4,4,5,1,0,252.637807,1,0,0,0,0,0,5.290318715,1,1,1,0,1,1,0,0,0,9.743201772,0,0,0,1577.208717
134,59,2,0,1,0,8,1,76567.85,4,5,4,4,4,4,5,4,1,0,112.455141,0,0,0,0,0,0,5.258274954,1,1,1,1,0,0,0,0,0,9.482919033,0,0,0,886.9398744
